ID,Question_Category,Questions_Descriptions,Choice_1,Choice_2,Choice_3,Choice_4,Right_Answer
773,EN,"Eighteen months into the COVID-19 pandemic, executives' responses to the latest  McKinsey Global Survey suggest that they believe the economy is on track toward a recovery.  Throughout 2021, their views have, on average, been consistently positive. They also continue to  report largely positive expectations. 71 percent of respondents predict that conditions in the  global economy will improve in the next six months. This went down from an all-time high of 81  percent who said so last quarter. When asked about their countries' economic prospects, most  respondents still expect improvements, but that share has also decreased. Sixty-five percent of  respondents now say so, down from a range of 73 to 79 percent who have said so since March  2021. 
However, with the Delta variant affecting so many parts of the world, worries over the  pandemic's effects on the economy have also re-emerged. This happened just one quarter after a historically low share of respondents cited it as a risk to domestic economic growth. In June, just 36 percent cited the pandemic as a risk to domestic growth over the next year. It was the smallest
share since the survey in March 2020. Now, 49 percent of respondents say the same, up from 42 percent in July. 
The pandemic is followed by supply-chain disruptions and inflation. These were also  among the top-three risks to domestic growth in the past two surveys. By region, the pandemic is  the top risk in every region except Latin America. Respondents in developed economies also see  it as a more prominent threat to growth than those in emerging economies. Fifty-two percent of developed-economy executives see the pandemic as a risk to growth in their own countries. It is 
nearly double the share who said so last quarter-compared with 45 percent in emerging economies. 
The responses in developed economies suggest other concerns as well. For the first time since January. these executives are less likely than others to expect improving conditions in their home economies. They are also less upbeat about their companies' prospects. Respondents in developed economies are much less likely than their emerging-economy peers to expect an increase in the size of their companies' workforces in the next six months. They also had less expectation of an increase in demand for their companies' products and services as well as an increase in company profits. 
The Passage can be generally found in a(n)",company profile,survey report,economic magazine,business proposal,1
774,EN,"Fundamentally, management consists of a set of five general functions. First,  management begins with planning. At this stage, managers choose appropriate goals and actions  to pursue. After that, they determine necessary strategies, actions, and resources. The second  function is organizing. It means establishing worker relationships. It allows employees to work  together. This is important to achieve their organizational goals. Third, leading aims at  motivating people. Employees are energized. The company’s vision is also articulated. The  fourth one is staffing. Its main duty is to recruit employees. This function also selects employees  for certain positions. Lastly, there is the controlling function. It evaluates the achievement of  goals. It also checks if performance has improved. Understanding the functions ____ be helpful  for managers. By doing so, they can focus on activities that gain results.
Understanding the function ____ be helpful for managers. ",must ,should,have to,ought to,3
775,EN,"Fundamentally, management consists of a set of five general functions. First,  management begins with planning. At this stage, managers choose appropriate goals and actions  to pursue. After that, they determine necessary strategies, actions, and resources. The second  function is organizing. It means establishing worker relationships. It allows employees to work  together. This is important to achieve their organizational goals. Third, leading aims at  motivating people. Employees are energized. The company’s vision is also articulated. The  fourth one is staffing. Its main duty is to recruit employees. This function also selects employees  for certain positions. Lastly, there is the controlling function. It evaluates the achievement of  goals. It also checks if performance has improved. Understanding the functions ____ be helpful  for managers. By doing so, they can focus on activities that gain results. 
The underlined word 'gain' in the passage means",grow,boost,attain,control,2
776,EN,"Fundamentally, management consists of a set of five general functions. First,  management begins with planning. At this stage, managers choose appropriate goals and actions  to pursue. After that, they determine necessary strategies, actions, and resources. The second  function is organizing. It means establishing worker relationships. It allows employees to work  together. This is important to achieve their organizational goals. Third, leading aims at  motivating people. Employees are energized. The company’s vision is also articulated. The  fourth one is staffing. Its main duty is to recruit employees. This function also selects employees  for certain positions. Lastly, there is the controlling function. It evaluates the achievement of  goals. It also checks if performance has improved. Understanding the functions ____ be helpful  for managers. By doing so, they can focus on activities that gain results. 
Based on the passage, the function of organizing deals with .... relationships between  employees.",categorizing,depening,embracing,building,3
777,EN,"A balanced diet includes foods from five groups and fulfills all of a person's nutritional needs. Eating a balanced diet helps people maintain good health and reduce their risk of disease. Dietary guidelines evolve with scientific advances, so it can be challenging to stay on top of current recommendations and know what to eat. 1 A balanced diet is one that fulfills all of a person's nutritional needs. 2 Humans need a certain number of calories and nutrients to stay healthy. 3 A balanced diet provides all the nutrients a person requires, without going over the recommended daily calorie intake. 4 By eating a balanced diet, people can get the nutrients and calories they need and avoid eating junk food, or food without nutritional value. 5 A poor diet is a common reason why people struggle with weight loss. The United States Department of Agriculture (USDA) used to recommend following a  food pyramid. However, as nutritional science has changed, they now recommend eating foods  from the five groups and building a balanced plate. According to the USDA's recommendations,  half of a person's plate should consist of fruits and vegetables. The other half should be made up  of grains and protein. They recommend accompanying each meal with a serving of low-fat dairy  or another source of the nutrients found in dairy. When combined with a regular exercise routine, a balanced diet can help a person reduce their risk factors for obesity or gaining weight. A balanced diet can help a person lose weight by increasing their protein intake, avoiding excessive carbohydrates, getting essential nutrients, and preventing binge eating.
Here are the jumbled sentences from the paragraph that follows the above paragraph.  Please reorder the following sentences.
a. To sum up, eating a balanced diet means eating foods from the five major groups. b. For people interested in weight loss, in addition to paying attention to dietary guidelines, they should also consider introducing moderate exercise into their routines. c. Current recommendations suggest that a person's plate should contain primarily  vegetables and fruits, some lean protein, some dairy, and soluble fiber. d. However, scientists keep discovering new information about nutrition. e. Therefore, dietary guidelines change over time. 
The best order of the sentences above is",a-c-d-b-e,a-c-d-e-b,a-e-d-c-b,a-b-c-d-e,2
778,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
How does the author organize the ideas in paragraphs 1 and 2?","Paragraph 1 recounts the history of e-learning, elaborated in paragraph 2.","Paragraph 1 argues for the safe use of e-learning, which is supported in paragraph  2.",Paragraph 2 provides more examples of the role of technology discussed in  paragraph 1.,Paragraph 2 elaborates the inevitability of e-learning in education mentioned in  paragraph,3
779,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
Which of the following best restates the underlined sentence in paragraph 3?","Students have the opportunity to arrange their online courses that fit their  education, inspite of school's daily activities.",Online learning offers best education to students so that they can schedule  learning activities outside the schooling time.,"Because e-learning can be adjusted to students' own learning speed, it allows the  students to set their own schedule.","Although online learning suits students' education, they need to adjust their  learning speed to school daily activities.",2
780,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
About e-learning, the statement which is NOT correct is","due to the pandemic, students become more familiar with online learning ",people are now more interested in engaging with e-learning,it appears that e-learning will remain operational,e-learning allows people to search and share information without any expense ,3
781,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
The author implicitly says that",employees can learn many things from online education,the role of traditional education system will change,technology innovations have surprisingly changed education system,more people now got familiar with e-learning,3
782,EN,"Technology has revolutionized everything and education is no exception. E-learning has drastically changed the landscape of education. The introduction of e-learning has been convenient for students as well as teachers. As a matter of fact, online education has been received very cordially. Normally, this is not the case for most new things. So, it is safe to say, regarding the future, that e-learning is here to stay. With future updates and upgrades, e-learning is likely to develop and become more convenient for learners. New methods introduced by instructors will make online courses more interesting and engaging for learners. Apart from students, organizations are adapting to e learning courses to train their employees. So, with all the hype and effort combined, the future of e-learning is very unlikely to be bleak. Online learning is a very useful tool for students and young professionals to gain various skills. Any professional can easily learn about any subject they want. This has also empowered individuals to seek, receive, and impart information effectively with very little cost. Almost all online courses are self-paced so students can fit education into their life instead of planning their day-to-day activities around school hours. The recent pandemic situation has suddenly shifted billions of students out of their classrooms. As a result, this has triggered an interest in e-learning among people even more than before. Schools have adopted techniques to keep up with changing times. In one way, the traditional academic education system has kind of normalized e-learning by endorsing their system. Plenty of people got acquainted with e-learning practices during this period. Learners  helped by facilities e are more likely to subscribe to further courses in the future. Young school aged children have already been academically introduced to e-learning so the process is already  quite normal and usual for them.
The author holds the assumption that",people definitely have good internet connection,e-learning is always dependent on school leaders,students need to adjust to organizations' needs,e-learning provides instructors with new methods,3
783,EN,"When we think of NASA, we think of deep-space exploration. We expect the agency to  be working on questions like what life would be like on Mars or how to build a city on the moon. However, researchers—and astronauts—have been on another kind of mission: to bring space down to Earth and to the developing world. In 2003, the agency teamed up with the United States Agency for International Development (USAID) to form SERVIR. It is an initiative to use data gathered in space to help developing countries combat problems related to climate change. Its name comes from the Spanish word meaning “to serve.” 1 NASA launched satellites years ago for research. 2 These satellites are now sending back information that can help Kenyan farmers protect their crops  from frost. 3 The information can also help Nepalese officials monitor forest fires and  policymakers in Botswana prevent land degradation. 4 The projects are active in more than 30  countries around the globe. 5 These are based on extensive needs assessments conducted by  USAID. 6 The satellite data do not replace on-ground monitoring; rather they serve as an  additional resource. In Bangladesh, for example, NASA has been helping cities prepare for floods up to eight days in advance. The country has low elevation and tropical storms. lt sits at the mouth of the Ganges river and is prone to severe flooding come monsoon season. Like the capital Dhaka, floods have the potential to displace tens of thousands every year. The cities rely heavily on warning systems to predict the water level. The prediction is based on how much rainfall the country gets and which way the water flows. 1 In another example, NASA is using satellite imagery of vegetation health. 2 lndeed,  bringing new technology into developing countries has its set of own challenges. 3 The satellite  measures real-time rainfall to help East African countries monitor for potential crop failures. 4 That way, policymakers know if they have enough food to feed the population. 5 They can also  know if they have to import grains from outside markets months in advance.
Which part of the passage best states public perception of NASA? ",Paragraph 1,Paragraph 2,Paragraph 3,Paragraph 4,0
784,EN,"When we think of NASA, we think of deep-space exploration. We expect the agency to  be working on questions like what life would be like on Mars or how to build a city on the moon. However, researchers—and astronauts—have been on another kind of mission: to bring space down to Earth and to the developing world. In 2003, the agency teamed up with the United States Agency for International Development (USAID) to form SERVIR. It is an initiative to use data gathered in space to help developing countries combat problems related to climate change. Its name comes from the Spanish word meaning “to serve.” 1 NASA launched satellites years ago for research. 2 These satellites are now sending back information that can help Kenyan farmers protect their crops  from frost. 3 The information can also help Nepalese officials monitor forest fires and  policymakers in Botswana prevent land degradation. 4 The projects are active in more than 30  countries around the globe. 5 These are based on extensive needs assessments conducted by  USAID. 6 The satellite data do not replace on-ground monitoring; rather they serve as an  additional resource. In Bangladesh, for example, NASA has been helping cities prepare for floods up to eight days in advance. The country has low elevation and tropical storms. lt sits at the mouth of the Ganges river and is prone to severe flooding come monsoon season. Like the capital Dhaka, floods have the potential to displace tens of thousands every year. The cities rely heavily on warning systems to predict the water level. The prediction is based on how much rainfall the country gets and which way the water flows. 1 In another example, NASA is using satellite imagery of vegetation health. 2 lndeed,  bringing new technology into developing countries has its set of own challenges. 3 The satellite  measures real-time rainfall to help East African countries monitor for potential crop failures. 4 That way, policymakers know if they have enough food to feed the population. 5 They can also  know if they have to import grains from outside markets months in advance.
What is the relation between sentences 2 and 3 in paragraph 3? ",Sentence 2 introduces the satellites and sentence 3 explains the function.,Sentence 3 provides a description of the satellites introduced in sentence 2.,The benefit of satellite information is presented in sentence 2 and elaborated in  sentence 3. ,Sentence 2 provides a description of the satellites that are further exemplified in  sentence 3.,2
785,EN,"When we think of NASA, we think of deep-space exploration. We expect the agency to  be working on questions like what life would be like on Mars or how to build a city on the moon. However, researchers—and astronauts—have been on another kind of mission: to bring space down to Earth and to the developing world. In 2003, the agency teamed up with the United States Agency for International Development (USAID) to form SERVIR. It is an initiative to use data gathered in space to help developing countries combat problems related to climate change. Its name comes from the Spanish word meaning “to serve.” 1 NASA launched satellites years ago for research. 2 These satellites are now sending back information that can help Kenyan farmers protect their crops  from frost. 3 The information can also help Nepalese officials monitor forest fires and  policymakers in Botswana prevent land degradation. 4 The projects are active in more than 30  countries around the globe. 5 These are based on extensive needs assessments conducted by  USAID. 6 The satellite data do not replace on-ground monitoring; rather they serve as an  additional resource. In Bangladesh, for example, NASA has been helping cities prepare for floods up to eight days in advance. The country has low elevation and tropical storms. lt sits at the mouth of the Ganges river and is prone to severe flooding come monsoon season. Like the capital Dhaka, floods have the potential to displace tens of thousands every year. The cities rely heavily on warning systems to predict the water level. The prediction is based on how much rainfall the country gets and which way the water flows. 1 In another example, NASA is using satellite imagery of vegetation health. 2 lndeed,  bringing new technology into developing countries has its set of own challenges. 3 The satellite  measures real-time rainfall to help East African countries monitor for potential crop failures. 4 That way, policymakers know if they have enough food to feed the population. 5 They can also  know if they have to import grains from outside markets months in advance.
Which of the following sentences is NOT relevant to the topic discussed in paragraph 5? ",Sentence 1,Sentence 2,Sentence 3,Sentence 4,1
786,EN,"The history of public health is dynamic and being generated on a constant basis. Diseases have provided the stimulus for much of the activity in public health. In a handful of instances, overcoming a disease has removed a barrier to commerce or another desired goal. For example, overcoming yellow fever facilitated construction of the Panama Canal in the early 1900s, and finding a cure for scurvy allowed mariners to make longer voyages of exploration. 
It is important to note that advances in public health usually have impacts on people throughout the world and that public health is an international effort. Public health researchers are focusing on heart disease and type 2 diabetes in response to contemporary epidemics. Their efforts to understand and cure diseases have had the unintended consequences of developing tools. The science of epidemiology emerged from efforts to stop cholera in England. 
In addition, forces other than disease have affected public health. For instance, the  sanitary movement began in England and was quickly duplicated in New England in mid-1800s. 
In the same period, reformers also used social concerns to promote mandatory schooling as a  way to stop child labor in factories in mid-1800s. 
A small number of diseases have had a disproportionate impact on the history of public health throughout the world. These include smallpox, influenza, tuberculosis (TB), and HIV/AIDS. The first three diseases have been known since antiquity, whereas HIV/AIDS is a more recent problem. 
1 Smallpox is noteworthy for its mortality rate and it is the only disease that has been eradicated. 2 lnfluenza became a human disease after individuals domesticated pigs. 3 Because influenza mutates so readily, it continues to challenge public health planners. 4 In periodic pandemics, influenza kills many people. 5 Tuberculosis, like influenza, migrated to humans after cattle were domesticated. 6 Experts estimate that one person in three carries the TB pathogen. 7 Because the length of time required to treat TB is long (months), most strains of TB have developed drug resistance 
The paragraph preceding the passage most likely discusses",various definitions of public health ,the constant change of health evolution,several scholar contributions to health care,health care professionals’ attitude towards health,1
787,EN,"The history of public health is dynamic and being generated on a constant basis. Diseases have provided the stimulus for much of the activity in public health. In a handful of instances, overcoming a disease has removed a barrier to commerce or another desired goal. For example, overcoming yellow fever facilitated construction of the Panama Canal in the early 1900s, and finding a cure for scurvy allowed mariners to make longer voyages of exploration. 
It is important to note that advances in public health usually have impacts on people throughout the world and that public health is an international effort. Public health researchers are focusing on heart disease and type 2 diabetes in response to contemporary epidemics. Their efforts to understand and cure diseases have had the unintended consequences of developing tools. The science of epidemiology emerged from efforts to stop cholera in England. 
In addition, forces other than disease have affected public health. For instance, the  sanitary movement began in England and was quickly duplicated in New England in mid-1800s. 
In the same period, reformers also used social concerns to promote mandatory schooling as a  way to stop child labor in factories in mid-1800s. 
A small number of diseases have had a disproportionate impact on the history of public health throughout the world. These include smallpox, influenza, tuberculosis (TB), and HIV/AIDS. The first three diseases have been known since antiquity, whereas HIV/AIDS is a more recent problem. 
1 Smallpox is noteworthy for its mortality rate and it is the only disease that has been eradicated. 2 lnfluenza became a human disease after individuals domesticated pigs. 3 Because influenza mutates so readily, it continues to challenge public health planners. 4 In periodic pandemics, influenza kills many people. 5 Tuberculosis, like influenza, migrated to humans after cattle were domesticated. 6 Experts estimate that one person in three carries the TB pathogen. 7 Because the length of time required to treat TB is long (months), most strains of TB have developed drug resistance 
Which of the following is the best summary of the passage? ","There are four notoriously deadly diseases in the public health history. They are  smallpox, influenza, tuberculosis, and HIV/AIDS. Public health policy makers  have been struggling to control these pandemic diseases.",Public health advances affect the whole world as they are usually the results of international collaboration. Sometimes researchers end up with findings that  theydo not originally expect. These may turn out valuable to help cope with  specific epidemics.,"One example of significant influence in the history of public health is HIV/AIDS.  Although it is a relatively recent disease, the number of lives affected by it results  in its deadly reputation. Therefore, public health planners need to carefully design  their plans to deal with it. ","History shows that changes are constant in public health. Diseases, particularly  pandemic ones, are mainly responsible for this as they trigger most public health  activities. In addition to diseases, other forces have also influenced public health  history, such as public movements and concerns.",3
788,EN,"The history of public health is dynamic and being generated on a constant basis. Diseases have provided the stimulus for much of the activity in public health. In a handful of instances, overcoming a disease has removed a barrier to commerce or another desired goal. For example, overcoming yellow fever facilitated construction of the Panama Canal in the early 1900s, and finding a cure for scurvy allowed mariners to make longer voyages of exploration. 
It is important to note that advances in public health usually have impacts on people throughout the world and that public health is an international effort. Public health researchers are focusing on heart disease and type 2 diabetes in response to contemporary epidemics. Their efforts to understand and cure diseases have had the unintended consequences of developing tools. The science of epidemiology emerged from efforts to stop cholera in England. 
In addition, forces other than disease have affected public health. For instance, the  sanitary movement began in England and was quickly duplicated in New England in mid-1800s. 
In the same period, reformers also used social concerns to promote mandatory schooling as a  way to stop child labor in factories in mid-1800s. 
A small number of diseases have had a disproportionate impact on the history of public health throughout the world. These include smallpox, influenza, tuberculosis (TB), and HIV/AIDS. The first three diseases have been known since antiquity, whereas HIV/AIDS is a more recent problem. 
1 Smallpox is noteworthy for its mortality rate and it is the only disease that has been eradicated. 2 lnfluenza became a human disease after individuals domesticated pigs. 3 Because influenza mutates so readily, it continues to challenge public health planners. 4 In periodic pandemics, influenza kills many people. 5 Tuberculosis, like influenza, migrated to humans after cattle were domesticated. 6 Experts estimate that one person in three carries the TB pathogen. 7 Because the length of time required to treat TB is long (months), most strains of TB have developed drug resistance 
Based on the passage, public health planners will","refuse to take the blame, if diseases fail to be managed ","run out of ideas, if diseases develop more rapidly than expected","be compelled to modify their plans, if diseases continue to evolve","keep their data confidential, if an illness causes thousands of deaths",2
789,EN,"Politics is another part of human's life affected by social media. The Arab Spring of 2011  is the biggest impact of social media at the political level. All the major discussions about the  Arab Spring took place on social media platforms. It played a vital role in spreading the message  outside of the Arab countries. 
Besides, social media affects human's culture. Every culture has a set of norms and values. It connects us to ourselves and the people around us. It also governs how we behave and  carry ourselves in the world. Social media has become a massive part of our social interaction.  We should be very grateful to its emergence. We do not necessarily have to speak to a person to  know what or how they are doing in life. Especially during COVID-19 pandemic, social media  helps make less ""real-life"" contact between individuals. 
Moreover, social media has played an exciting role in promoting trade and commerce around the world. In present times, almost all the brands have a page on most social media platforms. It has become an indispensable platform for sharing information, about products and  services. It has given the opportunity to people to learn about products and services all around the world. 
Adapted from:https://pteacademicexam.com/ 
According to the passage, social media has a/an ... in human's life.",insignificant capacity ,different position,exceptional way,major influence,3
790,EN,"Politics is another part of human's life affected by social media. The Arab Spring of 2011  is the biggest impact of social media at the political level. All the major discussions about the  Arab Spring took place on social media platforms. It played a vital role in spreading the message  outside of the Arab countries. 
Besides, social media affects human's culture. Every culture has a set of norms and values. It connects us to ourselves and the people around us. It also governs how we behave and  carry ourselves in the world. Social media has become a massive part of our social interaction.  We should be very grateful to its emergence. We do not necessarily have to speak to a person to  know what or how they are doing in life. Especially during COVID-19 pandemic, social media  helps make less ""real-life"" contact between individuals. 
Moreover, social media has played an exciting role in promoting trade and commerce around the world. In present times, almost all the brands have a page on most social media platforms. It has become an indispensable platform for sharing information, about products and  services. It has given the opportunity to people to learn about products and services all around the world. 
Adapted from:https://pteacademicexam.com/
In the passage there is a statement like this: 
Especially during COVID-19 pandemic, social media helps make less ""real-life"" contact between individuals. 
If social media did not exist but people had to see each other, they ... make face-to-face interactions. ",will,had to,would have to,will have to,2
791,EN,"Politics is another part of human's life affected by social media. The Arab Spring of 2011  is the biggest impact of social media at the political level. All the major discussions about the  Arab Spring took place on social media platforms. It played a vital role in spreading the message  outside of the Arab countries. 
Besides, social media affects human's culture. Every culture has a set of norms and values. It connects us to ourselves and the people around us. It also governs how we behave and  carry ourselves in the world. Social media has become a massive part of our social interaction.  We should be very grateful to its emergence. We do not necessarily have to speak to a person to  know what or how they are doing in life. Especially during COVID-19 pandemic, social media  helps make less ""real-life"" contact between individuals. 
Moreover, social media has played an exciting role in promoting trade and commerce around the world. In present times, almost all the brands have a page on most social media platforms. It has become an indispensable platform for sharing information, about products and  services. It has given the opportunity to people to learn about products and services all around the world. 
Adapted from:https://pteacademicexam.com/
To be successful in business, everybody.. use social media nowadays.  ",must,shall,would,could,0
792,EN,"Politics is another part of human's life affected by social media. The Arab Spring of 2011  is the biggest impact of social media at the political level. All the major discussions about the  Arab Spring took place on social media platforms. It played a vital role in spreading the message  outside of the Arab countries. 
Besides, social media affects human's culture. Every culture has a set of norms and values. It connects us to ourselves and the people around us. It also governs how we behave and  carry ourselves in the world. Social media has become a massive part of our social interaction.  We should be very grateful to its emergence. We do not necessarily have to speak to a person to  know what or how they are doing in life. Especially during COVID-19 pandemic, social media  helps make less ""real-life"" contact between individuals. 
Moreover, social media has played an exciting role in promoting trade and commerce around the world. In present times, almost all the brands have a page on most social media platforms. It has become an indispensable platform for sharing information, about products and  services. It has given the opportunity to people to learn about products and services all around the world. 
Adapted from:https://pteacademicexam.com/
Based on the passage, the word indispensable in paragraph 3 means",essential ,tangible ,auxiliary ,indiscipline ,0
793,EN,"Politics is another part of human's life affected by social media. The Arab Spring of 2011  is the biggest impact of social media at the political level. All the major discussions about the  Arab Spring took place on social media platforms. It played a vital role in spreading the message  outside of the Arab countries. 
Besides, social media affects human's culture. Every culture has a set of norms and values. It connects us to ourselves and the people around us. It also governs how we behave and  carry ourselves in the world. Social media has become a massive part of our social interaction.  We should be very grateful to its emergence. We do not necessarily have to speak to a person to  know what or how they are doing in life. Especially during COVID-19 pandemic, social media  helps make less ""real-life"" contact between individuals. 
Moreover, social media has played an exciting role in promoting trade and commerce around the world. In present times, almost all the brands have a page on most social media platforms. It has become an indispensable platform for sharing information, about products and  services. It has given the opportunity to people to learn about products and services all around the world. 
Adapted from:https://pteacademicexam.com/
The paragraph preceding the passage most likely discusses",politicization of social media in relation to human's life ,a clear definition of politics in social media,social media and society,the role of social media in human's culture,2
794,EN,"TEXT 1 
A new MRI study revealed that consumption of alcohol even in low to moderate amounts  during pregnancy can change the baby's brain structure and delay brain development. ""Fetal MRI  is a highly specialized and safe examination method that allows us to make accurate statements  about brain maturation prenatally,"" said study senior author Gregor Kasprian, M.D. Babies born  with fetal alcohol spectrum disorders could develop learning disabilities, behavioral problems, or  speech and language delays. 
For the study, researchers analyzed MRI exams of 24 fetuses with prenatal alcohol  exposure. The fetuses were between 22 and 36 weeks of gestation at the time of MRI. In fetuses  with alcohol exposure, the fetal total maturation score (fTMS) was significantly lower than in the  age-matched controls, and the right superior temporal sulcus (STS) was shallower. The STS is  involved in social cognition, audiovisual integration, and language perception. ""We found the  greatest changes in the temporal brain region and STS,"" Dr. Kasprian said.
According to Patric Kienast, M.D., a Ph.D student, alcohol consumption should strictly  be avoided by pregnant women. ""As we show in our study, even low levels of alcohol  consumption can lead to structural changes in brain development and delayed brain maturation.""  It is unclear how these structural changes will affect brain development in these babies after  birth. ""To assess this accurately, we need to wait for the children who were examined as fetuses  at that time to get a little older, so that we can invite them back for further examinations,"" Dr. 
Kienast said. ""However, we can strongly assume that the changes we discovered contribute to  the cognitive and behavioral difficulties that may occur during childhood.” 
TEXT 2 
New research finds caffeine consumed during pregnancy can change important brain  pathways that could lead to behavioral problems later in life. Researchers in the Del Monte  Institute for Neuroscience at the University of Rochester Medical Center (URMC) analyzed  thousands of brain scans of nine and ten-year-olds, and revealed changes in the brain structure in  children who were exposed to caffeine in utero. ""These are sort of small effects and it's not  causing horrendous psychiatric conditions, but it is causing minimal but noticeable behavioral  issues that should make us consider long-term effects of caffeine intake during pregnancy,"" said  John Foxe, Ph.D. ""I suppose the outcome of this study will be a recommendation that any  caffeine during pregnancy is probably not such a good idea."" 
Elevated behavioral issues, attention difficulties, and hyperactivity are all symptoms that  researchers observed in these children. ""What makes this unique is that we have a biological  pathway that looks different when you consume caffeine through pregnancy,"" said Zachary  Christensen, a M.D/Ph.D. ""Previous studies have shown that children perform differently on IQ  tests, or they have different psychopathology, but that could also be related to demographics, so  it's hard to parse that out until you have something like a biomarker. This gives us a place to start  future research to try to learn exactly when the change is occurring in the brain."" 
The researchers point out that it is unclear if the impact of the caffeine on the fetal brain  varies from one trimester to the next, or when during gestation these structural changes occur.  ""Current clinical guidelines already suggest limiting caffeine intake during pregnancy, no more  than two normal cups of coffee a day,"" Christensen said. ""In the long term, we hope to develop  better guidance for mothers, but in the meantime, they should ask their doctor as concerns arise.”
What is the correlation between text 1 and text 2? ",Both texts discuss harmful activities to avoid during pregnancy.,Text 2 explains how caffeine and alcohol intake mentioned in text 1 can affect  fetuses.,Both texts review studies of the effect of alcohol consumption during pregnancy. ,Text 1 and 2 talk about a study of brain disorders caused by alcohol and caffeine  consumption during pregnancy.,3
